,event_type,start_time,duration,end_time
27,tests/action1.spec.js,2024-12-11 12:05:59+01:00,13489,2024-12-11 12:06:13+01:00
28,tests/action1.spec.js,2024-12-11 12:08:13+01:00,13259,2024-12-11 12:08:26+01:00
29,tests/action1.spec.js,2024-12-11 12:10:26+01:00,13540,2024-12-11 12:10:40+01:00
30,tests/action1.spec.js,2024-12-11 12:12:40+01:00,13299,2024-12-11 12:12:53+01:00
31,tests/action1.spec.js,2024-12-11 12:14:53+01:00,13144,2024-12-11 12:15:06+01:00
32,tests/action1.spec.js,2024-12-11 12:17:06+01:00,13240,2024-12-11 12:17:20+01:00
33,tests/action1.spec.js,2024-12-11 12:19:20+01:00,13134,2024-12-11 12:19:33+01:00
34,tests/action1.spec.js,2024-12-11 12:21:33+01:00,13154,2024-12-11 12:21:46+01:00
35,tests/action1.spec.js,2024-12-11 12:23:46+01:00,13221,2024-12-11 12:23:59+01:00
36,tests/action2.spec.js,2024-12-11 12:30:59+01:00,24040,2024-12-11 12:31:23+01:00
37,tests/action2.spec.js,2024-12-11 12:33:23+01:00,23968,2024-12-11 12:33:47+01:00
38,tests/action2.spec.js,2024-12-11 12:35:47+01:00,23960,2024-12-11 12:36:11+01:00
39,tests/action2.spec.js,2024-12-11 12:38:11+01:00,23870,2024-12-11 12:38:35+01:00
40,tests/action2.spec.js,2024-12-11 12:40:35+01:00,24019,2024-12-11 12:40:59+01:00
41,tests/action2.spec.js,2024-12-11 12:42:59+01:00,24028,2024-12-11 12:43:23+01:00
42,tests/action2.spec.js,2024-12-11 12:45:23+01:00,23907,2024-12-11 12:45:47+01:00
43,tests/action2.spec.js,2024-12-11 12:47:47+01:00,23889,2024-12-11 12:48:11+01:00
44,tests/action2.spec.js,2024-12-11 12:50:11+01:00,23847,2024-12-11 12:50:35+01:00
45,tests/action2.spec.js,2024-12-11 12:52:35+01:00,23958,2024-12-11 12:52:59+01:00
46,tests/action2.spec.js,2024-12-11 12:54:59+01:00,24011,2024-12-11 12:55:23+01:00
47,tests/action2.spec.js,2024-12-11 12:57:23+01:00,23894,2024-12-11 12:57:47+01:00
48,tests/action2.spec.js,2024-12-11 12:59:47+01:00,23964,2024-12-11 13:00:11+01:00
49,tests/action2.spec.js,2024-12-11 13:02:11+01:00,23902,2024-12-11 13:02:35+01:00
50,tests/action2.spec.js,2024-12-11 13:04:35+01:00,23868,2024-12-11 13:04:59+01:00
51,tests/action2.spec.js,2024-12-11 13:06:59+01:00,23870,2024-12-11 13:07:23+01:00
52,tests/action2.spec.js,2024-12-11 13:09:23+01:00,24045,2024-12-11 13:09:47+01:00
53,tests/action2.spec.js,2024-12-11 13:11:47+01:00,24086,2024-12-11 13:12:11+01:00
54,tests/action2.spec.js,2024-12-11 13:14:11+01:00,24035,2024-12-11 13:14:35+01:00
55,tests/action2.spec.js,2024-12-11 13:16:35+01:00,24015,2024-12-11 13:16:59+01:00
56,tests/action2.spec.js,2024-12-11 13:18:59+01:00,23823,2024-12-11 13:19:23+01:00
57,tests/action2.spec.js,2024-12-11 13:21:23+01:00,23985,2024-12-11 13:21:47+01:00
58,tests/action2.spec.js,2024-12-11 13:23:47+01:00,24033,2024-12-11 13:24:11+01:00
59,tests/action2.spec.js,2024-12-11 13:26:11+01:00,23990,2024-12-11 13:26:35+01:00
60,tests/action2.spec.js,2024-12-11 13:28:35+01:00,23953,2024-12-11 13:28:59+01:00
61,tests/action2.spec.js,2024-12-11 13:30:59+01:00,23952,2024-12-11 13:31:23+01:00
62,tests/action2.spec.js,2024-12-11 13:33:23+01:00,23810,2024-12-11 13:33:47+01:00
63,tests/action2.spec.js,2024-12-11 13:35:47+01:00,23948,2024-12-11 13:36:11+01:00
64,tests/action2.spec.js,2024-12-11 13:38:11+01:00,23764,2024-12-11 13:38:35+01:00
65,tests/action2.spec.js,2024-12-11 13:40:35+01:00,23970,2024-12-11 13:40:59+01:00
66,tests/action2.spec.js,2024-12-11 13:42:59+01:00,23937,2024-12-11 13:43:23+01:00
67,tests/action2.spec.js,2024-12-11 13:45:23+01:00,24044,2024-12-11 13:45:47+01:00
68,tests/action2.spec.js,2024-12-11 13:47:47+01:00,24072,2024-12-11 13:48:11+01:00
69,tests/action2.spec.js,2024-12-11 13:50:11+01:00,23957,2024-12-11 13:50:35+01:00
70,tests/action2.spec.js,2024-12-11 13:52:35+01:00,24060,2024-12-11 13:52:59+01:00
71,tests/action3.spec.js,2024-12-11 13:59:59+01:00,14965,2024-12-11 14:00:14+01:00
72,tests/action3.spec.js,2024-12-11 14:02:14+01:00,14798,2024-12-11 14:02:29+01:00
73,tests/action3.spec.js,2024-12-11 14:04:29+01:00,14730,2024-12-11 14:04:44+01:00
74,tests/action3.spec.js,2024-12-11 14:06:44+01:00,14966,2024-12-11 14:06:59+01:00
75,tests/action3.spec.js,2024-12-11 14:08:59+01:00,14795,2024-12-11 14:09:14+01:00
76,tests/action3.spec.js,2024-12-11 14:11:14+01:00,14850,2024-12-11 14:11:29+01:00
77,tests/action3.spec.js,2024-12-11 14:13:29+01:00,14748,2024-12-11 14:13:44+01:00
78,tests/action3.spec.js,2024-12-11 14:15:44+01:00,14778,2024-12-11 14:15:58+01:00
79,tests/action3.spec.js,2024-12-11 14:17:58+01:00,14904,2024-12-11 14:18:13+01:00
80,tests/action3.spec.js,2024-12-11 14:20:13+01:00,14724,2024-12-11 14:20:28+01:00
81,tests/action3.spec.js,2024-12-11 14:22:28+01:00,14793,2024-12-11 14:22:43+01:00
82,tests/action3.spec.js,2024-12-11 14:24:43+01:00,14708,2024-12-11 14:24:58+01:00
83,tests/action3.spec.js,2024-12-11 14:26:58+01:00,14793,2024-12-11 14:27:13+01:00
