framework,action_category,energy_action
Nightwatch,drag & drop,0.7766022619047497
Nightwatch,drag & drop,0.7437030952380865
Nightwatch,drag & drop,0.7204230952380974
Nightwatch,drag & drop,0.7437364285714269
Nightwatch,drag & drop,0.753325178571428
Nightwatch,drag & drop,0.7508168452380929
Nightwatch,drag & drop,0.7799768452380914
Nightwatch,drag & drop,0.7633622619047686
Nightwatch,drag & drop,0.760368511904753
Nightwatch,drag & drop,0.7679601785714383
Nightwatch,drag & drop,0.7391560119047607
Nightwatch,drag & drop,0.7716451785714251
Nightwatch,drag & drop,0.7449918452380946
Nightwatch,drag & drop,0.7266072619047509
Nightwatch,drag & drop,0.7554514285714365
Nightwatch,drag & drop,0.7420285119047516
Nightwatch,drag & drop,0.7304110119047618
Nightwatch,drag & drop,0.7766560119047607
Nightwatch,drag & drop,0.7345251785714176
Nightwatch,drag & drop,0.7225355952381035
Nightwatch,drag & drop,0.746667261904763
Nightwatch,drag & drop,0.7782885119047537
Nightwatch,drag & drop,0.7811893452380837
Nightwatch,drag & drop,0.7233222619047605
Nightwatch,drag & drop,0.7732960119047552
Nightwatch,drag & drop,0.7620572619047575
Nightwatch,drag & drop,0.767870595238087
Nightwatch,drag & drop,0.7775180952381
Nightwatch,drag & drop,0.7291197619047532
Nightwatch,drag & drop,0.7695660119047594
Nightwatch,drag & drop,0.7689351785714249
Nightwatch,drag & drop,0.7429001785714262
Nightwatch,drag & drop,0.7320318452380857
Nightwatch,input text,0.6912422619047613
Nightwatch,input text,0.6912964285716376
Nightwatch,input text,0.681658095238093
Nightwatch,input text,0.6703543452378865
Nightwatch,input text,0.6674960119047773
Nightwatch,input text,0.6879018452380689
Nightwatch,input text,0.6699868452380753
Nightwatch,input text,0.6624918452380945
Nightwatch,input text,0.6729089285714295
Nightwatch,input text,0.6812905952382817
Nightwatch,input text,0.6754139285714487
Nightwatch,input text,0.6733230952380865
Nightwatch,input text,0.6745739285714231
Nightwatch,input text,0.6745680952380674
Nightwatch,input text,0.6770772619047691
Nightwatch,input text,0.6829076785714246
Nightwatch,input text,0.6595326785712646
Nightwatch,input text,0.6766568452380882
Nightwatch,input text,0.6770255952379041
Nightwatch,input text,0.6649922619047628
Nightwatch,input text,0.6754601785716264
Nightwatch,input text,0.6836905952378977
Nightwatch,input text,0.6812355952380705
Nightwatch,input text,0.6591964285715736
Nightwatch,input text,0.6770726785714183
Nightwatch,input text,0.6916572619047564
Nightwatch,input text,0.6845735119047548
Nightwatch,input text,0.6645805952381154
Nightwatch,input text,0.6674968452381138
Nightwatch,input text,0.6761897619045611
Nightwatch,input text,0.6845680952380674
Nightwatch,input text,0.6566164285712662
Nightwatch,input text,0.6696193452382643
Nightwatch,input text,0.6845122619045195
Nightwatch,input text,0.6720747619047597
Nightwatch,scroll,0.7604497619049198
Nightwatch,scroll,0.7545801785714469
Nightwatch,scroll,0.7566968452382418
Nightwatch,scroll,0.7207801785712549
Nightwatch,scroll,0.7649835119047291
Nightwatch,scroll,0.7379126785714439
Nightwatch,scroll,0.7333272619047692
Nightwatch,scroll,0.7149943452381041
Nightwatch,scroll,0.7509772619047632
Nightwatch,scroll,0.7441468452380497
Nightwatch,scroll,0.727078511904774
Nightwatch,scroll,0.71957226190475
Nightwatch,scroll,0.7466543452380784
Nightwatch,scroll,0.7083305952381154
Nightwatch,scroll,0.7449914285714261
Nightwatch,scroll,0.7383635119049086
Nightwatch,scroll,0.7396297619049709
Nightwatch,scroll,0.7262443452381041
Nightwatch,scroll,0.7641610119047706
Nightwatch,scroll,0.7470735119047547
Nightwatch,scroll,0.728745595238109
Nightwatch,scroll,0.7312460119047773
Nightwatch,scroll,0.7645726785714184
Nightwatch,scroll,0.7557785119045819
Nightwatch,scroll,0.7428605952379105
Nightwatch,scroll,0.7562476785714504
Nightwatch,scroll,0.7178997619047275
Nightwatch,scroll,0.7545660119047259
Nightwatch,scroll,0.7220805952381153
Nightwatch,scroll,0.7467035119049341
Nightwatch,scroll,0.7653718452379538
Nightwatch,scroll,0.7391568452380882
Nightwatch,scroll,0.7416639285714488
Nightwatch,scroll,0.7504626785716361
Nightwatch,scroll,0.7779372619048716
Playwright,refresh,0.31192818469387745
Playwright,refresh,0.21693889897959182
Playwright,refresh,0.22354247040816314
Playwright,refresh,0.22318407755102032
Playwright,refresh,0.22354372040816314
Playwright,refresh,0.2163796132653065
Playwright,refresh,0.21870479183673502
Playwright,refresh,0.23068532755102034
Playwright,refresh,0.2178501489795912
Playwright,refresh,0.21729836326530594
Playwright,refresh,0.22321050612244833
Playwright,refresh,0.22371550612244906
Playwright,refresh,0.21675907755102028
Playwright,refresh,0.22388068469387795
Playwright,refresh,0.21371514897959817
Playwright,refresh,0.2226713989795864
Playwright,refresh,0.22032836326530608
Playwright,refresh,0.2224687204081639
Playwright,refresh,0.2214005061224488
Playwright,refresh,0.2197913989795921
Playwright,refresh,0.22052961326530038
Playwright,refresh,0.23012657755102625
Playwright,refresh,0.22249014897958713
Playwright,refresh,0.2126481846938779
Playwright,refresh,0.227648898979592
Playwright,refresh,0.21586139897959247
Playwright,refresh,0.21943461326530636
Playwright,refresh,0.22426122040816213
Playwright,refresh,0.21477175612245414
Playwright,refresh,0.22622550612244788
Playwright,refresh,0.2223094346938809
Playwright,refresh,0.22494407755101997
Playwright,refresh,0.21927657755102428
Playwright,refresh,0.22354925612245025
Playwright,refresh,0.2278137204081602
Playwright,left click,0.17127427387755098
Playwright,left click,0.16227548816326554
Playwright,left click,0.1707215595918346
Playwright,left click,0.1614959881632668
Playwright,left click,0.16726541673469209
Playwright,left click,0.17051784530612188
Playwright,left click,0.1642747738775511
Playwright,left click,0.16185377387755262
Playwright,left click,0.16098863102040814
Playwright,left click,0.16391634530612229
Playwright,left click,0.17434384530612204
Playwright,left click,0.16228191673469541
Playwright,left click,0.1606321310204083
Playwright,left click,0.16098784530612226
Playwright,left click,0.1641332024489799
Playwright,left click,0.16298970244897978
Playwright,left click,0.16655941673469374
Playwright,left click,0.17227191673469336
Playwright,left click,0.17213027387755075
Playwright,left click,0.16940934530612084
Playwright,left click,0.16362234530612058
Playwright,left click,0.15969427387754923
Playwright,left click,0.1679081310204063
Playwright,left click,0.1596392738775526
Playwright,left click,0.1609230595918379
Playwright,left click,0.15855798816326488
Playwright,left click,0.1647734881632651
Playwright,left click,0.16242505959183834
Playwright,left click,0.15863284530612273
Playwright,left click,0.16341805959183692
Playwright,left click,0.16113048816326508
Playwright,left click,0.1684809167346923
Playwright,left click,0.16912398816326377
Playwright,left click,0.1595605595918368
Playwright,left click,0.1651957024489781
Playwright,right click,0.1815948285714287
Playwright,right click,0.17571174033613438
Playwright,right click,0.18512188739495758
Playwright,right click,0.17924188739495805
Playwright,right click,0.18289879915966
Playwright,right click,0.18762306386554609
Playwright,right click,0.1761545344537818
Playwright,right click,0.18130262268907607
Playwright,right click,0.17247879915966427
Playwright,right click,0.18337629915966736
Playwright,right click,0.18365012268907502
Playwright,right click,0.18040306386554322
Playwright,right click,0.18085629915966334
Playwright,right click,0.1836715932773147
Playwright,right click,0.17675879915966744
Playwright,right click,0.17645041680672327
Playwright,right click,0.1979189462184876
Playwright,right click,0.18205291680672622
Playwright,right click,0.18499585798319718
Playwright,right click,0.17982879915966365
Playwright,right click,0.1892251226890723
Playwright,right click,0.18703468151260488
Playwright,right click,0.1782085050420161
Playwright,right click,0.17821012268907518
Playwright,right click,0.1820357109243698
Playwright,right click,0.1787851226890726
Playwright,right click,0.18056438739495786
Playwright,right click,0.18585776974789894
Playwright,right click,0.18247776974789942
Playwright,right click,0.19087644621849092
Playwright,right click,0.18381938739496184
Playwright,right click,0.17201968151260183
Playwright,right click,0.17584144621848385
Playwright,right click,0.17866938739496124
Playwright,right click,0.17924262268907587
Playwright,double click,0.19386481785713947
Playwright,double click,0.19670934910714602
Playwright,double click,0.20136341160713916
Playwright,double click,0.20200700535714294
Playwright,double click,0.19186966160714683
Playwright,double click,0.18589575535713943
Playwright,double click,0.1979265366071393
Playwright,double click,0.20059856785714247
Playwright,double click,0.19468138035714663
Playwright,double click,0.19515153660714687
Playwright,double click,0.2015377866071429
Playwright,double click,0.1877702866071393
Playwright,double click,0.19622231785714223
Playwright,double click,0.19573919285713934
Playwright,double click,0.19809778660714236
Playwright,double click,0.1929426303571426
Playwright,double click,0.1995048178571425
Playwright,double click,0.19716341160714293
Playwright,double click,0.2004452866071431
Playwright,double click,0.19216450535714324
Playwright,double click,0.19607122410714325
Playwright,double click,0.18967684910714575
Playwright,double click,0.19216356785714303
Playwright,double click,0.1945066928571429
Playwright,double click,0.19638122410714282
Playwright,double click,0.19591341160714298
Playwright,double click,0.19918638035714017
Playwright,double click,0.19358559910714623
Playwright,double click,0.20292934910713986
Playwright,double click,0.19122403660714263
Playwright,double click,0.19964966160714023
Playwright,double click,0.1985859116071463
Playwright,double click,0.1909148178571433
Playwright,double click,0.19339216160713865
Playwright,double click,0.19481653660714238
Playwright,checkbox,0.3804112154761961
Playwright,checkbox,0.38538663214285773
Playwright,checkbox,0.3812162154761903
Playwright,checkbox,0.3724930904761958
Playwright,checkbox,0.3580643404761848
Playwright,checkbox,0.3835076738095236
Playwright,checkbox,0.3851562154761865
Playwright,checkbox,0.3922849654761958
Playwright,checkbox,0.38415267380952767
Playwright,checkbox,0.39517934047619124
Playwright,checkbox,0.3776693404761893
Playwright,checkbox,0.3692078821428525
Playwright,checkbox,0.3945468404761898
Playwright,checkbox,0.379971007142858
Playwright,checkbox,0.3839255904761905
Playwright,checkbox,0.38538059047618983
Playwright,checkbox,0.38183663214285607
Playwright,checkbox,0.3715291321428555
Playwright,checkbox,0.39183913214285654
Playwright,checkbox,0.38769767380952835
Playwright,checkbox,0.3635082988095237
Playwright,checkbox,0.384110173809519
Playwright,checkbox,0.3897599654761908
Playwright,checkbox,0.37496829880952404
Playwright,checkbox,0.3893462154761913
Playwright,checkbox,0.3991087154761853
Playwright,checkbox,0.368480173809518
Playwright,checkbox,0.3780691321428524
Playwright,checkbox,0.3856155904761953
Playwright,checkbox,0.3931128821428614
Playwright,checkbox,0.3774716321428581
Playwright,checkbox,0.37998913214286156
Playwright,checkbox,0.3614257988095239
Playwright,checkbox,0.3914489238095286
Playwright,checkbox,0.377908923809529
Playwright,drag & drop,0.44410493095238174
Playwright,drag & drop,0.45497868095239
Playwright,drag & drop,0.43738993095237205
Playwright,drag & drop,0.45789868095239067
Playwright,drag & drop,0.46159576428571325
Playwright,drag & drop,0.44243118095238027
Playwright,drag & drop,0.4507728476190486
Playwright,drag & drop,0.4662290976190567
Playwright,drag & drop,0.4545165976190475
Playwright,drag & drop,0.4636761809523792
Playwright,drag & drop,0.448636597619038
Playwright,drag & drop,0.4653478476190471
